块体非晶合金Zr_(55)Cu_(30)Al_(10)Ni_5结构弛豫的研究	柳义;吴志方;柳林;张涛	《物理学报》	中国科学院上海应用物理研究所	2005	小角x射线散射;块体非晶合金;结构弛豫
基于卫星重力梯度数据的密度反演研究	叶周润;柳林涛	《大地测量与地球动力学》	中国科学院大学;中国科学院测量与地球物理研究所;	2015	GOCE;重力梯度;密度反演
罗兰C信号包络提取技术研究	吴苗;柳林涛;李方能;江山	《海洋测绘》	中国科学院测量与地球物理研究所动力大地测量学重点实验室;中国科学院研究生院;海军工程大学导航工程系;海军工程大学学校办公室;	2012	罗兰C;希尔伯特;Morlet小波;短时平均能量
基于DDS技术的航空重力仪电容测微正弦激励源设计	李文萍;柳林涛;吴鹏飞	《大地测量与地球动力学》	中国科学院测量与地球物理研究所动力大地测量学重点实验室;中国科学院大学;	2013	航空重力系统;电容测微;直接数字合成;正弦激励源;稳定度
重力极潮的小波分析	徐华君;柳林涛;许厚泽;胡小刚	《武汉大学学报(信息科学版)》	中国科学院测量与地球物理研究所;中国科学院研究生院;	2008	小波滤波;重力长期变化;极潮;重力残差
昆明山海棠的生物碱——雷公藤次碱	吴大刚;柳林;陈昆昌	《云南植物研究》	中国科学院昆明植物研究所	1981	雷公藤次碱;昆明山海棠;生物碱;类风湿性关节炎;昆明植物研究所;酒精提取;乙酞基;分析值;重水;有效剂量
青藏高原大地水准面异常的解释与场源效应初探	张赤军;骆鸣津;方剑;周旭华;柳林涛;王新胜;叶周润	《中国科学:地球科学》	中国科学院测量与地球物理研究所;河南省地震局;中国科学院上海天文台;	2011	青藏高原;大地水准面异常;场源效应
无地面温压数据的可降水量研究	于胜杰;柳林涛	《大地测量与地球动力学》	中国科学院测量与地球物理研究所;中国科学院研究生院;	2008	地基GPS气象学;天顶延迟参数;可降水量;拟合;气象参数
中国及其邻区地形和均衡重力梯度的球面计算	叶周润;柳林涛;梁星辉	《大地测量与地球动力学》	中国科学院大学;中国科学院测量与地球物理研究所大地测量与地球动力学国家重点实验室;	2015	频谱域;地形和均衡影响;重力梯度
小波分析在我国地球物理测量中的应用	郑作亚;柳林涛;黄珹;卢秀山	《山东科技大学学报(自然科学版)》	中国科学院上海天文台	2003	小波变换;中国;地球物理应用
关于喜马拉雅山重力均衡问题	张赤军;方剑;柳林涛;王新胜;叶周润	《地球物理学进展》	中国科学院测量与地球物理研究所动力大地测量重点实验室;中国科学院研究生院;	2013	均衡;重力;大地测量;喜马拉雅
“黄秉维先生百年诞辰学术思想研讨会”专家谈	曾庆存;孙鸿烈;刘昌明;石玉林;童庆禧;陆大道;李文彦;王恩涌;孙惠南;邓先瑞;倪绍祥;孙广友;杨桂山;柳林;李双成	《地理科学进展》	中国科学院大气物理研究所;中国科学院地理科学与资源研究所;中国科学院遥感与数字地球研究所;北京大学城市与环境学院;中国科学院;华中师范大学城市与环境科学学院;南京师范大学地理科学学院;中国科学院东北地理与农业生态研究所;中国科学院南京地理与湖泊研究所;中山大学地理科学与规划学院;	2013	黄秉维;百年诞辰研讨会;自然区划;综合自然地理;地理学应用
急冷Al-Si合金的微晶结构的特征	柳林;董远达;何怡贞	《材料科学进展》	中国科学院固体物理研究所	1988	Al-Si合金;晶格常数;微晶结构;固溶度;微观结构;快速凝固;过共晶合金;位错环;内应力;显微组织
GIS中3维空间圆曲线的不确定性ε_σ模型	张国芹;朱长青;周滨;柳林涛;刘海砚	《测绘学报》	中国科学院测量与地球物理研究所	2005	GIS;空间圆曲线;位置不确定性;误差带
块体非晶合金Zr_(55)Cu_(30)Al_(10)Ni_5玻璃转变温度附近晶化的同步辐射X光小角散射研究	柳义;柳林;王俊;董宝中	《核技术》	中国科学院上海应用物理研究所	2004	同步辐射;X光小角散射;块体非晶合金;玻璃转变;等温退火
高能球磨Nd_(14)Dy_1Fe_(72)Co_5B_8合金的微观结构和磁性	柳林;董远达;熊曹水	《金属科学与工艺》	 	1992	高能球磨;微观结构;磁性
地球的正常密度	郝晓光;胡小刚;刘根友;方剑;柳林涛	《测绘学报》	中国科学院测量与地球物理研究所;	2009	参数椭球;纬向密度;准等位条件;似水准椭球;地核椭球—壳幔椭球层
